metric,metric_value,metric_type
abox_axiom_count,6505,single_value
abox_axiom_count_incl,6505,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,35,single_value
annotation_property_count_incl,35,single_value
assert_n_subclass_avg,1.0908311910882604,single_value
assert_n_subclass_avg_incl,1.0908311910882604,single_value
assert_n_superclass_avg,1.1216795201371037,single_value
assert_n_superclass_avg_incl,1.1216795201371037,single_value
ax_complexrhs_count,1261,single_value
ax_complexrhs_count_incl,1261,single_value
axiom_count,13558,single_value
axiom_count_incl,13558,single_value
axiom_length_max,21,single_value
axiom_length_max_incl,21,single_value
axiom_type_count,AnnotationAssertion 3103,map_value
axiom_type_count,AsymmetricObjectProperty 23,map_value
axiom_type_count,ClassAssertion 1134,map_value
axiom_type_count,DataPropertyRange 1,map_value
axiom_type_count,Declaration 1188,map_value
axiom_type_count,DisjointClasses 15,map_value
axiom_type_count,EquivalentClasses 221,map_value
axiom_type_count,InverseObjectProperties 8,map_value
axiom_type_count,IrrefexiveObjectProperty 23,map_value
axiom_type_count,ObjectPropertyAssertion 5370,map_value
axiom_type_count,ObjectPropertyDomain 21,map_value
axiom_type_count,ObjectPropertyRange 41,map_value
axiom_type_count,SameIndividual 1,map_value
axiom_type_count,SubClassOf 2398,map_value
axiom_type_count,SubObjectPropertyOf 11,map_value
axiom_type_count_incl,AnnotationAssertion 3103,map_value
axiom_type_count_incl,AsymmetricObjectProperty 23,map_value
axiom_type_count_incl,ClassAssertion 1134,map_value
axiom_type_count_incl,DataPropertyRange 1,map_value
axiom_type_count_incl,Declaration 1188,map_value
axiom_type_count_incl,DisjointClasses 15,map_value
axiom_type_count_incl,EquivalentClasses 221,map_value
axiom_type_count_incl,InverseObjectProperties 8,map_value
axiom_type_count_incl,IrrefexiveObjectProperty 23,map_value
axiom_type_count_incl,ObjectPropertyAssertion 5370,map_value
axiom_type_count_incl,ObjectPropertyDomain 21,map_value
axiom_type_count_incl,ObjectPropertyRange 41,map_value
axiom_type_count_incl,SameIndividual 1,map_value
axiom_type_count_incl,SubClassOf 2398,map_value
axiom_type_count_incl,SubObjectPropertyOf 11,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,AsymmetricObjectProperty,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyRange,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,EquivalentClasses,list_value
axiom_types,InverseObjectProperties,list_value
axiom_types,IrrefexiveObjectProperty,list_value
axiom_types,ObjectPropertyAssertion,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SameIndividual,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,AsymmetricObjectProperty,list_value
