metric,metric_value,metric_type
abox_axiom_count,70,single_value
abox_axiom_count_incl,70,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,10,single_value
annotation_property_count_incl,10,single_value
assert_n_subclass_avg,2.570464767616192,single_value
assert_n_subclass_avg_incl,2.570464767616192,single_value
assert_n_superclass_avg,2.5742128935532236,single_value
assert_n_superclass_avg_incl,2.5742128935532236,single_value
ax_complexrhs_count,783,single_value
ax_complexrhs_count_incl,783,single_value
axiom_count,7524,single_value
axiom_count_incl,7524,single_value
axiom_length_max,23,single_value
axiom_length_max_incl,23,single_value
axiom_type_count,AnnotationAssertion 1862,map_value
axiom_type_count,ClassAssertion 35,map_value
axiom_type_count,DataPropertyAssertion 35,map_value
axiom_type_count,Declaration 1371,map_value
axiom_type_count,DisjointClasses 6,map_value
axiom_type_count,SubClassOf 4212,map_value
axiom_type_count,SubObjectPropertyOf 2,map_value
axiom_type_count,TransitiveObjectProperty 1,map_value
axiom_type_count_incl,AnnotationAssertion 1862,map_value
axiom_type_count_incl,ClassAssertion 35,map_value
axiom_type_count_incl,DataPropertyAssertion 35,map_value
axiom_type_count_incl,Declaration 1371,map_value
axiom_type_count_incl,DisjointClasses 6,map_value
axiom_type_count_incl,SubClassOf 4212,map_value
axiom_type_count_incl,SubObjectPropertyOf 2,map_value
axiom_type_count_incl,TransitiveObjectProperty 1,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyAssertion,list_value
axiom_types,Declaration,list_value
axiom_types,DisjointClasses,list_value
axiom_types,SubClassOf,list_value
axiom_types,SubObjectPropertyOf,list_value
axiom_types,TransitiveObjectProperty,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyAssertion,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,DisjointClasses,list_value
axiom_types_incl,SubClassOf,list_value
axiom_types_incl,SubObjectPropertyOf,list_value
